uuid,item_id,timestamp,price,url,color,title,is_new
H082608CK3I1715922967,H082608CK3I,1715922967,12380,/au/en/product/lindy-mini-bag-H082608CK3I/,Green,Lindy mini bag,1
H084235CK631715922967,H084235CK63,1715922967,14705,/au/en/product/picotin-lock-micro-bag-H084235CK63/,Green,Picotin Lock micro bag,1
H056289CC0W1715922967,H056289CC0W,1715922967,5270,/au/en/product/picotin-lock-18-bag-H056289CC0W/,Grey,Picotin Lock 18 bag,1
H083894CAAG1715923567,H083894CAAG,1715923567,5900,/au/en/product/pursangle-tote-bag-H083894CAAG/,Multi-colored,Pursangle tote bag,0
H083189CKAR1715923567,H083189CKAR,1715923567,6560,/au/en/product/picotin-lock-18-pocket-bag-H083189CKAR/,Green,Picotin Lock 18 pocket bag,0
H082608CK3I1715923567,H082608CK3I,1715923567,12380,/au/en/product/lindy-mini-bag-H082608CK3I/,Green,Lindy mini bag,0
H084235CK631715923567,H084235CK63,1715923567,14705,/au/en/product/picotin-lock-micro-bag-H084235CK63/,Green,Picotin Lock micro bag,0
H056289CC0W1715923567,H056289CC0W,1715923567,5270,/au/en/product/picotin-lock-18-bag-H056289CC0W/,Grey,Picotin Lock 18 bag,0
H078595CKAA1715923567,H078595CKAA,1715923567,49705,/au/en/product/bolide-1923-45-racing-bag-H078595CKAA/,Blue,Bolide 1923 - 45 Racing bag,0
H083618CKAB1715923567,H083618CKAB,1715923567,7300,/au/en/product/steeple-25-bag-H083618CKAB/,Multi-colored,Steeple 25 bag,0
H083618CKAC1715923567,H083618CKAC,1715923567,7300,/au/en/product/steeple-25-bag-H083618CKAC/,Multi-colored,Steeple 25 bag,0
H073611CK8U1715923567,H073611CK8U,1715923567,23910,/au/en/product/roulis-mini-bag-H073611CK8U/,Blue,Roulis mini bag,0
H082924CAAD1715923567,H082924CAAD,1715923567,11955,/au/en/product/cabas-h-en-biais-40-bag-H082924CAAD/,Multi-colored,Cabas H en Biais 40 bag,0
H085078CKAA1715923567,H085078CKAA,1715923567,9545,/au/en/product/garden-party-49-voyage-bag-H085078CKAA/,Beige/Natural,Garden Party 49 voyage bag,0
H083618CKAB1715924167,H083618CKAB,1715924167,7300,/au/en/product/steeple-25-bag-H083618CKAB/,Multi-colored,Steeple 25 bag,1
H082924CAAD1715924167,H082924CAAD,1715924167,11955,/au/en/product/cabas-h-en-biais-40-bag-H082924CAAD/,Multi-colored,Cabas H en Biais 40 bag,1
H084308CC341715924167,H084308CC34,1715924167,13015,/au/en/product/lindy-mini-bag-H084308CC34/,Beige/Natural,Lindy mini bag,1
H085078CKAA1715924167,H085078CKAA,1715924167,9545,/au/en/product/garden-party-49-voyage-bag-H085078CKAA/,Beige/Natural,Garden Party 49 voyage bag,1
H084235CK631715924167,H084235CK63,1715924167,14705,/au/en/product/picotin-lock-micro-bag-H084235CK63/,Green,Picotin Lock micro bag,1
H078595CKAA1715924167,H078595CKAA,1715924167,49705,/au/en/product/bolide-1923-45-racing-bag-H078595CKAA/,Blue,Bolide 1923 - 45 Racing bag,1
H083618CKAC1715924167,H083618CKAC,1715924167,7300,/au/en/product/steeple-25-bag-H083618CKAC/,Multi-colored,Steeple 25 bag,1
H073611CK8U1715924167,H073611CK8U,1715924167,23910,/au/en/product/roulis-mini-bag-H073611CK8U/,Blue,Roulis mini bag,1
H083894CAAG1715924167,H083894CAAG,1715924167,5900,/au/en/product/pursangle-tote-bag-H083894CAAG/,Multi-colored,Pursangle tote bag,1
H083894CAAG1715924767,H083894CAAG,1715924767,5900,/au/en/product/pursangle-tote-bag-H083894CAAG/,Multi-colored,Pursangle tote bag,0
H084235CK631715924767,H084235CK63,1715924767,14705,/au/en/product/picotin-lock-micro-bag-H084235CK63/,Green,Picotin Lock micro bag,0
H084308CC341715924767,H084308CC34,1715924767,13015,/au/en/product/lindy-mini-bag-H084308CC34/,Beige/Natural,Lindy mini bag,0
H073611CK8U1715924767,H073611CK8U,1715924767,23910,/au/en/product/roulis-mini-bag-H073611CK8U/,Blue,Roulis mini bag,0
H078595CKAA1715924767,H078595CKAA,1715924767,49705,/au/en/product/bolide-1923-45-racing-bag-H078595CKAA/,Blue,Bolide 1923 - 45 Racing bag,0
H085078CKAA1715924767,H085078CKAA,1715924767,9545,/au/en/product/garden-party-49-voyage-bag-H085078CKAA/,Beige/Natural,Garden Party 49 voyage bag,0
H082924CAAD1715924767,H082924CAAD,1715924767,11955,/au/en/product/cabas-h-en-biais-40-bag-H082924CAAD/,Multi-colored,Cabas H en Biais 40 bag,0
H083618CKAC1715924767,H083618CKAC,1715924767,7300,/au/en/product/steeple-25-bag-H083618CKAC/,Multi-colored,Steeple 25 bag,0
H083618CKAB1715924767,H083618CKAB,1715924767,7300,/au/en/product/steeple-25-bag-H083618CKAB/,Multi-colored,Steeple 25 bag,0
