uuid,item_id,timestamp,price,url,color,title,is_new,date
H079092CCAG1716262567,H079092CCAG,1716262567,4870,/au/en/product/herbag-zip-31-bag-H079092CCAG/,Multi-colored,Herbag Zip 31 bag,1,2024-05-21
H083189CKAX1716263167,H083189CKAX,1716263167,6560,/au/en/product/picotin-lock-18-pocket-bag-H083189CKAX/,Beige/Natural,Picotin Lock 18 pocket bag,1,2024-05-21
H082153CCBI1716281767,H082153CCBI,1716281767,15235,/au/en/product/2424-21-bag-H082153CCBI/,White,24/24 - 21 bag,1,2024-05-21
H083618CKAB1716336367,H083618CKAB,1716336367,7300,/au/en/product/steeple-25-bag-H083618CKAB/,Multi-colored,Steeple 25 bag,1,2024-05-22
H082924CAAD1716336367,H082924CAAD,1716336367,11955,/au/en/product/cabas-h-en-biais-40-bag-H082924CAAD/,Multi-colored,Cabas H en Biais 40 bag,1,2024-05-22
H078595CKAA1716336367,H078595CKAA,1716336367,49705,/au/en/product/bolide-1923-45-racing-bag-H078595CKAA/,Blue,Bolide 1923 - 45 Racing bag,1,2024-05-22
H085078CKAA1716336367,H085078CKAA,1716336367,9545,/au/en/product/garden-party-49-voyage-bag-H085078CKAA/,Beige/Natural,Garden Party 49 voyage bag,1,2024-05-22
H083894CAAG1716336367,H083894CAAG,1716336367,5900,/au/en/product/pursangle-tote-bag-H083894CAAG/,Multi-colored,Pursangle tote bag,1,2024-05-22
H083618CKAC1716336367,H083618CKAC,1716336367,7300,/au/en/product/steeple-25-bag-H083618CKAC/,Multi-colored,Steeple 25 bag,1,2024-05-22
H077887CKAG1716351367,H077887CKAG,1716351367,3725,/au/en/product/evelyne-16-amazone-bag-H077887CKAG/,Beige/Natural,Evelyne 16 Amazone bag,1,2024-05-22
H079195CKU41716351367,H079195CKU4,1716351367,13545,/au/en/product/roulis-mini-bag-H079195CKU4/,Green,Roulis mini bag,1,2024-05-22
H070510CP181716351367,H070510CP18,1716351367,13440,/au/en/product/roulis-mini-bag-H070510CP18/,Beige/Natural,Roulis mini bag,1,2024-05-22
H070510CP371716351367,H070510CP37,1716351367,13440,/au/en/product/roulis-mini-bag-H070510CP37/,Brown,Roulis mini bag,1,2024-05-22
H082153CCBI1716352567,H082153CCBI,1716352567,15235,/au/en/product/2424-21-bag-H082153CCBI/,White,24/24 - 21 bag,1,2024-05-22
H073611CK8U1716352567,H073611CK8U,1716352567,23910,/au/en/product/roulis-mini-bag-H073611CK8U/,Blue,Roulis mini bag,1,2024-05-22
H051551CKCF1716368767,H051551CKCF,1716368767,3770,/au/en/product/garden-party-30-bag-H051551CKCF/,Blue,Garden Party 30 bag,1,2024-05-22
H079091CKAW1716368767,H079091CKAW,1716368767,4870,/au/en/product/herbag-zip-31-bag-H079091CKAW/,Yellow,Herbag Zip 31 bag,1,2024-05-22
H069573CKCI1716368767,H069573CKCI,1716368767,3770,/au/en/product/garden-party-30-bag-H069573CKCI/,Blue,Garden Party 30 bag,1,2024-05-22
H083894CAAG1716422767,H083894CAAG,1716422767,5900,/au/en/product/pursangle-tote-bag-H083894CAAG/,Multi-colored,Pursangle tote bag,1,2024-05-23
H078595CKAA1716422767,H078595CKAA,1716422767,49705,/au/en/product/bolide-1923-45-racing-bag-H078595CKAA/,Blue,Bolide 1923 - 45 Racing bag,1,2024-05-23
H082924CAAD1716422767,H082924CAAD,1716422767,11955,/au/en/product/cabas-h-en-biais-40-bag-H082924CAAD/,Multi-colored,Cabas H en Biais 40 bag,1,2024-05-23
H085078CKAA1716422767,H085078CKAA,1716422767,9545,/au/en/product/garden-party-49-voyage-bag-H085078CKAA/,Beige/Natural,Garden Party 49 voyage bag,1,2024-05-23
H083618CKAB1716422767,H083618CKAB,1716422767,7300,/au/en/product/steeple-25-bag-H083618CKAB/,Multi-colored,Steeple 25 bag,1,2024-05-23
H083618CKAC1716422767,H083618CKAC,1716422767,7300,/au/en/product/steeple-25-bag-H083618CKAC/,Multi-colored,Steeple 25 bag,1,2024-05-23
H073428CK181716423367,H073428CK18,1716423367,13860,/au/en/product/lindy-26-bag-H073428CK18/,Beige/Natural,Lindy 26 bag,1,2024-05-23
H082660CKBF1716423367,H082660CKBF,1716423367,9100,/au/en/product/halzan-25-verso-bag-H082660CKBF/,Yellow,Halzan 25 verso bag,1,2024-05-23
H077887CKAG1716425167,H077887CKAG,1716425167,3725,/au/en/product/evelyne-16-amazone-bag-H077887CKAG/,Beige/Natural,Evelyne 16 Amazone bag,1,2024-05-23
H079091CKAW1716425167,H079091CKAW,1716425167,4870,/au/en/product/herbag-zip-31-bag-H079091CKAW/,Yellow,Herbag Zip 31 bag,1,2024-05-23
H070510CP181716425767,H070510CP18,1716425767,13440,/au/en/product/roulis-mini-bag-H070510CP18/,Beige/Natural,Roulis mini bag,1,2024-05-23
H060991CC0L1716425767,H060991CC0L,1716425767,5715,/au/en/product/picotin-lock-22-bag-H060991CC0L/,Grey,Picotin Lock 22 bag,1,2024-05-23
H079195CKU41716425767,H079195CKU4,1716425767,13545,/au/en/product/roulis-mini-bag-H079195CKU4/,Green,Roulis mini bag,1,2024-05-23
H083618CKAB1716509167,H083618CKAB,1716509167,7300,/au/en/product/steeple-25-bag-H083618CKAB/,Multi-colored,Steeple 25 bag,1,2024-05-24
H083618CKAC1716509167,H083618CKAC,1716509167,7300,/au/en/product/steeple-25-bag-H083618CKAC/,Multi-colored,Steeple 25 bag,1,2024-05-24
H082924CAAD1716509167,H082924CAAD,1716509167,11955,/au/en/product/cabas-h-en-biais-40-bag-H082924CAAD/,Multi-colored,Cabas H en Biais 40 bag,1,2024-05-24
H060991CC0L1716509167,H060991CC0L,1716509167,5715,/au/en/product/picotin-lock-22-bag-H060991CC0L/,Grey,Picotin Lock 22 bag,1,2024-05-24
H085078CKAA1716509167,H085078CKAA,1716509167,9545,/au/en/product/garden-party-49-voyage-bag-H085078CKAA/,Beige/Natural,Garden Party 49 voyage bag,1,2024-05-24
H078595CKAA1716509167,H078595CKAA,1716509167,49705,/au/en/product/bolide-1923-45-racing-bag-H078595CKAA/,Blue,Bolide 1923 - 45 Racing bag,1,2024-05-24
H083894CAAG1716509167,H083894CAAG,1716509167,5900,/au/en/product/pursangle-tote-bag-H083894CAAG/,Multi-colored,Pursangle tote bag,1,2024-05-24
H077913CC461716510367,H077913CC46,1716510367,5925,/au/en/product/picotin-lock-18-bag-H077913CC46/,Brown,Picotin Lock 18 bag,1,2024-05-24
H083764CKAG1716510367,H083764CKAG,1716510367,7515,/au/en/product/picotin-lock-18-bag-H083764CKAG/,Yellow,Picotin Lock 18 bag,1,2024-05-24
H083189CCAA1716510367,H083189CCAA,1716510367,6560,/au/en/product/picotin-lock-18-pocket-bag-H083189CCAA/,Black,Picotin Lock 18 pocket bag,1,2024-05-24
H073428CK181716510967,H073428CK18,1716510967,13860,/au/en/product/lindy-26-bag-H073428CK18/,Beige/Natural,Lindy 26 bag,1,2024-05-24
H077887CKAG1716526567,H077887CKAG,1716526567,3725,/au/en/product/evelyne-16-amazone-bag-H077887CKAG/,Beige/Natural,Evelyne 16 Amazone bag,1,2024-05-24
H085078CKAA1716596167,H085078CKAA,1716596167,9545,/au/en/product/garden-party-49-voyage-bag-H085078CKAA/,Beige/Natural,Garden Party 49 voyage bag,1,2024-05-25
H083618CKAB1716596167,H083618CKAB,1716596167,7300,/au/en/product/steeple-25-bag-H083618CKAB/,Multi-colored,Steeple 25 bag,1,2024-05-25
